12789858	2	-1	1	0	5	61	1	1	32	1758	13	36	0	331	29	1	2015	2	-1	-1	-1
12817139	2	21	0	0	0	95	0	0	12	381	4	1	0	104	3	9	0	3	-1	30	-1
15176372	1	-1	1	0	7	57	0	14	0	26	165	124	9	429	28	0	0	-1	78	338	86
15656013	2	21	0	0	0	8	3	0	1	0	5	24	0	106	5	13	0	4	4	-1	-1
15799856	1	21	4	11	0	6	3	0	2	27	1	16	0	16	1	1	2015	5	28	16	15
16136976	2	21	1	0	8	122	0	4	20	317	96	52	1	357	2	0	0	1	-1	42	-1
16238400	2	20	-1	0	4	39	0	0	15	96	27	20	1	159	13	2	0	2	5	-1	-1
16689400	2	20	1	0	0	31	0	0	5	34	0	0	0	95	5	0	2015	5	-1	0	95
17160918	1	-1	4	87	6	60	0	0	13	22	287	43	10	158	6	5	1983	3	20	1	36
17181027	2	-1	1	0	7	1	0	0	6	0	6	16	1	88	3	1	2015	3	2	0	15
17840247	2	-1	4	0	5	74	4	0	26	869	218	37	1	363	8	6	2015	3	-1	-1	-1
17966029	1	22	0	35	8	82	9	0	14	376	57	51	3	549	35	5	2014	3	426	51	239
18675812	1	-1	0	0	2	82	2	0	19	795	76	18	4	113	17	2	2015	3	76	-1	-1
18744173	1	-1	0	26	8	8	1	0	21	545	144	21	3	197	26	3	2015	2	58	23	-1
19942417	2	20	3	0	11	26	0	0	20	63	84	17	10	228	1	3	0	4	79	5	57
20615510	2	20	1	0	4	19	1	0	5	164	63	29	2	108	3	1	0	2	3	0	19
21212174	2	22	2	0	0	3	0	0	5	63	0	9	0	77	0	0	2014	-1	41	0	17
21377303	2	-1	0	15	10	64	1	0	3	767	116	26	3	177	32	7	0	2	48	16	-1
21561414	2	20	0	0	3	128	0	2	6	126	16	46	0	360	39	0	0	1	82	18	113
21564420	1	20	4	0	12	265	0	0	16	254	76	107	1	177	12	8	2015	2	50	24	-1
21690933	1	21	0	0	4	41	0	1	3	305	7	85	0	100	13	3	2015	4	11	-1	-1
21814635	1	-1	0	0	11	15	0	0	4	0	193	1	4	128	1	0	0	-1	-1	2	-1
21838334	2	20	3	0	4	144	9	3	10	344	116	39	6	43	30	0	2012	3	30	5	86
22243773	2	-1	-1	0	0	10	2	1	4	0	1	6	0	38	1	1	0	5	-1	-1	-1
22335947	2	20	0	0	6	9	0	0	17	96	25	6	3	62	13	0	2015	2	38	4	25
23799321	2	21	0	0	12	103	1	0	12	137	183	44	8	140	33	0	0	1	72	4	62
24412176	2	-1	0	0	0	0	0	0	7	0	5	6	0	26	1	0	0	5	3	4	11
24679925	1	18	1	140	10	143	7	2	1	627	1046	246	17	224	134	5	0	0	76	13	481
24942072	1	21	1	18	8	107	8	0	10	773	676	112	12	689	56	0	2015	0	181	45	351
25034139	2	21	0	48	4	31	1	0	26	0	470	67	4	235	20	3	2015	2	-1	-1	-1
25041516	1	-1	0	61	10	94	0	0	15	345	336	80	9	343	9	16	0	4	232	36	68
25266548	2	-1	0	0	5	33	0	0	7	279	4	120	0	424	9	2	0	4	3	-1	-1
28342283	2	-1	1	0	4	246	0	0	6	2133	1	6	0	119	45	0	2014	-1	0	0	105
28776409	1	-1	7	0	7	261	0	0	0	82	22	203	0	94	38	0	0	3	57	6	-1
30226535	1	18	0	17	3	5	0	0	5	0	130	50	3	249	15	0	0	0	17	10	35
31888951	2	20	0	30	5	26	6	1	19	82	219	107	8	433	15	3	2015	1	84	8	-1
34618173	2	-1	0	0	10	5	0	0	14	21	4	10	0	88	0	11	2015	3	53	1	-1
37214093	1	21	-1	0	9	150	49	1	12	495	420	77	9	154	29	0	0	0	80	10	-1
43378282	2	21	0	0	8	405	1	4	4	724	70	62	6	209	27	2	0	1	1	12	65
49781689	2	20	6	0	5	518	0	0	3	357	282	87	3	276	21	0	0	1	225	30	74
51048799	1	22	2	0	14	33	0	0	8	57	89	14	4	33	0	0	0	5	2	0	1
52418870	1	20	0	15	15	41	0	0	13	338	432	72	2	172	31	1	2015	0	114	5	234
58600728	2	18	0	0	10	308	0	14	6	249	7862	45	54	942	88	1	0	0	21	18	972
60470911	1	-1	0	63	4	430	51	5	0	337	6098	256	22	3373	28	4	2007	0	-1	47	-1
63632372	1	-1	0	0	0	403	0	2	8	0	0	89	0	90	86	0	0	1	19	5	-1
73878391	2	20	0	0	5	16	1	1	12	539	31	163	1	163	16	1	0	2	25	0	-1
81810084	2	18	6	0	3	117	2	22	0	33	105	30	11	135	4	2	2016	5	7	3	-1
89670319	1	-1	0	36	10	81	4	0	8	251	45	62	2	268	38	0	0	1	-1	2	-1
99688221	1	22	0	0	13	690	2	0	21	0	523	76	12	150	117	0	0	2	-1	4	189
111488529	2	19	0	0	12	86	0	1	4	115	219	21	4	128	29	0	2016	3	40	5	74
111501754	2	-1	7	140	8	17	0	11	19	113	47	191	5	340	166	0	0	2	32	0	273
119015321	1	-1	0	0	5	3	0	0	12	0	5	5	1	28	0	6	0	5	1	0	1
133742616	1	-1	1	0	6	411	0	12	6	0	12	166	1	177	173	4	0	2	-1	-1	-1
138591781	1	-1	0	65	2	153	3	1	17	76	223	453	6	9290	18	13	0	0	0	0	-1
147107187	2	21	0	0	10	0	0	0	11	12	9	13	1	63	24	1	2015	4	2	0	-1
1148989	1	-1	2	0	0	158	8	0	13	1117	220	163	0	478	51	2	2014	1	-1	-1	-1
1627179	2	23	0	0	9	2	3	1	11	149	7	32	0	883	2	10	2013	4	19	-1	-1
1792739	2	-1	2	0	7	178	3	0	10	182	8	28	2	204	5	4	2015	2	-1	27	55
2474025	2	-1	4	0	9	259	24	4	1	859	553	13	12	423	49	1	2009	4	74	-1	-1
2704995	2	-1	2	0	2	10	1	1	11	521	1067	56	16	255	20	5	2015	2	-1	-1	-1
3085883	2	-1	2	3	19	0	2	2	12	31	919	27	15	770	11	1	0	1	474	36	106
3108268	2	-1	0	16	12	7	6	0	7	35	1300	2	18	243	2	6	2015	4	375	13	29
3534653	1	20	0	25	11	15	13	1	15	208	1977	234	12	385	27	7	2015	0	262	-1	-1
3890579	2	-1	0	0	3	93	4	0	11	140	61	57	3	105	4	7	2016	3	74	93	14
4335516	2	-1	-1	0	7	17	0	0	2	1093	19	2	1	353	28	1	0	2	247	199	-1
4497212	2	-1	7	22	7	373	7	164	13	437	28	663	1	3666	26	10	2016	0	105	0	-1
4568263	2	20	1	0	4	29	0	0	9	68	319	62	6	183	17	8	2015	3	200	75	-1
4614380	2	-1	0	0	13	7	2	1	17	138	37	8	1	112	2	3	2014	5	40	11	17
4713161	2	20	0	0	3	113	1	0	13	130	238	192	5	201	15	0	2015	2	24	36	28
4875446	1	-1	0	57	8	17	0	0	11	4	66	26	3	371	5	5	2015	3	-1	-1	-1
4953019	1	-1	0	17	9	409	2	0	13	1276	669	18	5	258	86	4	2016	0	-1	93	-1
5311182	1	-1	0	33	9	54	1	0	13	294	34	46	0	207	22	2	2015	1	89	55	40
5323236	1	21	0	0	4	214	1	1	14	505	439	94	23	209	76	4	0	2	-1	-1	-1
5332970	2	20	1	0	6	12	0	0	13	120	62	38	1	356	15	7	2015	4	-1	-1	187
5840047	2	21	0	0	7	20	5	0	11	115	64	13	2	302	15	4	2015	4	63	13	47
6207880	2	21	0	0	4	214	1	0	13	125	239	21	2	179	21	2	2015	4	-1	-1	52
6214362	2	-1	0	0	5	146	2	1	15	265	40	17	2	254	9	1	0	1	68	93	22
7009956	1	-1	-1	42	9	47	2	0	2	224	12	89	0	302	29	6	0	2	-1	-1	-1
7542404	2	21	-1	35	7	82	6	4	16	79	63	14	4	106	31	0	0	2	-1	9	106
7858972	1	19	1	105	4	122	49	0	10	746	644	125	7	289	11	0	2015	1	61	5	38
7916080	2	20	4	0	0	6	0	0	3	9	0	21	0	32	0	0	0	5	3	0	6
8584583	1	-1	0	65	4	46	37	0	11	916	1679	96	25	208	16	4	0	0	194	1	80
11163440	2	-1	0	15	4	41	5	0	2	528	16	8	0	86	2	2	0	5	15	9	22
11746040	1	-1	4	63	11	62	0	1	11	146	1896	31	28	233	42	0	2015	3	55	12	150
12321078	2	-1	1	14	3	64	25	0	9	996	268	124	7	194	8	1	2015	2	21	36	128
12629871	2	-1	0	0	7	90	0	0	2	170	641	76	11	154	4	7	2015	5	223	10	-1
15056352	1	23	2	41	9	977	13	7	0	512	210	228	1	339	26	2	0	0	59	-1	-1
17040712	2	-1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	-1	0	0	1
17357154	2	21	0	43	7	22	11	0	5	55	92	8	1	230	0	1	2015	3	-1	-1	31
17666373	1	-1	0	0	12	12	7	0	12	284	104	0	5	150	15	1	2015	2	63	0	-1
17693012	2	-1	1	24	10	64	2	0	5	0	92	17	1	279	23	5	2016	3	-1	-1	-1
17714940	2	-1	0	0	2	0	0	0	13	444	51	26	3	122	11	2	0	2	-1	-1	-1
18053156	1	24	4	0	14	54	6	0	1	75	798	115	16	283	36	11	2008	4	90	94	242
18216768	2	21	7	0	13	5	0	0	6	8	49	11	2	220	1	32	0	5	131	1	21
18296840	2	-1	2	15	2	123	3	1	16	37	17	28	0	71	26	1	2016	4	5	1	-1
21264536	1	-1	-1	8	5	302	16	0	5	1084	104	111	0	322	31	5	0	1	56	-1	-1
30770943	2	20	-1	37	6	407	76	0	0	1958	529	114	1	107	38	6	0	0	-1	41	-1
32111195	2	-1	5	39	7	25	0	0	6	0	53	12	3	91	0	1	2015	5	42	5	24
39826223	1	-1	0	64	7	89	3	0	3	375	100	140	1	249	22	11	2015	1	258	15	-1
45199227	2	21	1	0	5	6	35	0	12	81	53	40	0	42	7	0	2015	4	23	3	35
64435506	2	21	0	25	4	288	1	0	17	34	251	7	2	230	59	2	0	0	51	26	96
96820660	2	-1	0	0	10	50	6	3	5	162	13	25	0	145	9	0	2015	-1	4	2	-1
143369916	1	-1	0	13	5	91	1	0	1	0	5	22	0	284	25	0	0	1	1	0	-1
1438916	1	20	0	0	6	81	1	-1	17	1278	1253	177	24	786	-1	1	2015	0	-1	-1	-1
1585400	1	21	1	0	7	54	4	-1	41	528	510	47	17	285	-1	1	2015	2	-1	8	-1
1676629	2	21	0	0	2	106	0	-1	13	587	107	24	2	262	-1	1	2015	1	-1	6	95
1792739	2	-1	2	0	7	178	3	-1	20	182	8	28	2	204	-1	4	2015	2	-1	27	55
1794556	2	22	0	0	4	0	0	-1	18	0	52	12	3	279	-1	4	2015	4	-1	7	108
1986524	2	-1	0	0	1	1	0	-1	13	23	125	14	2	399	-1	6	2001	3	-1	0	34
2007432	2	23	0	20	4	25	4	-1	4	190	316	194	5	396	-1	0	2013	2	-1	-1	189
2205489	2	23	0	0	1	99	0	-1	15	580	972	19	20	327	-1	1	2012	2	-1	101	-1
2290976	2	-1	0	0	0	8	0	-1	5	71	3	3	1	61	-1	6	0	5	-1	3	-1
2671180	2	-1	-1	0	20	4997	6	-1	0	1314	535	24	6	406	-1	21	0	1	-1	-1	-1
2906085	1	-1	0	0	0	6	1	-1	23	122	1	48	0	336	-1	2	2015	3	-1	11	-1
2986419	1	21	0	0	6	33	1	-1	17	396	267	93	9	401	-1	0	2015	2	-1	24	99
3061089	2	24	0	56	6	10	0	-1	19	140	633	54	14	367	-1	2	1995	0	-1	0	32
3108268	2	-1	0	16	12	7	6	-1	14	35	1300	2	18	244	-1	6	2015	4	-1	13	29
3261098	2	24	4	5	0	12	0	-1	3	193	2	15	2	199	-1	2	2012	2	-1	0	19
3605241	2	20	2	64	2	52	11	-1	29	290	516	42	8	141	-1	6	2015	5	-1	28	-1
4020948	2	21	1	53	5	48	6	-1	14	363	78	108	2	391	-1	1	2015	1	-1	57	304
4301391	1	24	1	0	6	2	5	-1	7	178	73	17	4	263	-1	1	2012	2	-1	17	30
4456623	2	-1	6	6	3	25	1	-1	2	14	534	48	19	207	-1	2	2015	3	-1	2	81
4593704	1	20	2	63	7	15	4	-1	20	93	491	110	6	354	-1	7	2015	3	-1	157	-1
4692916	2	21	-1	0	5	15	0	-1	23	995	52	5	2	166	-1	1	0	2	-1	-1	-1
5110202	2	20	0	49	5	153	1	-1	23	413	252	51	10	148	-1	5	0	2	-1	10	-1
5253082	2	-1	1	0	13	35	1	-1	3	618	16	17	0	183	-1	6	0	2	-1	45	48
5287350	2	-1	0	37	5	128	1	-1	19	892	34	75	0	161	-1	0	2015	1	-1	61	201
5476907	2	-1	7	0	4	5	6	-1	21	648	787	83	19	1115	-1	2	2014	1	-1	10	306
5517936	1	21	2	0	8	14	0	-1	21	32	233	19	5	159	-1	2	2015	2	-1	24	-1
5659922	2	-1	0	0	3	146	6	-1	19	365	643	48	13	109	-1	2	2015	4	-1	97	-1
5737570	2	21	0	17	5	224	0	-1	13	336	33	54	0	182	-1	2	0	1	-1	20	49
5741002	2	-1	0	0	3	0	0	-1	13	0	3	103	0	130	-1	14	2015	5	-1	-1	-1
6202174	2	-1	0	33	1	3	0	-1	30	150	2	0	1	126	-1	7	0	5	-1	-1	-1
6400489	2	-1	1	35	3	4	5	-1	11	424	35	231	1	344	-1	2	0	0	-1	0	52
6634855	2	-1	0	0	5	28	0	-1	16	195	100	19	1	310	-1	18	0	5	-1	16	17
6934806	1	-1	0	12	11	64	27	-1	18	419	1479	510	17	529	-1	11	0	1	-1	23	-1
7146315	2	-1	2	0	3	111	4	-1	34	622	386	60	4	148	-1	7	2015	1	-1	-1	44
7168688	2	-1	1	0	7	108	3	-1	32	530	233	23	2	157	-1	1	2015	4	-1	17	-1
7209783	1	22	2	62	11	76	0	-1	20	376	3404	226	28	515	-1	8	2015	1	-1	33	-1
7669356	2	-1	0	9	4	54	4	-1	39	263	341	59	10	730	-1	1	2015	0	-1	9	385
7772333	2	-1	4	0	7	6	2	-1	9	17	140	10	3	268	-1	14	0	2	-1	-1	-1
8370805	2	21	0	0	0	30	0	-1	29	32	0	31	0	157	-1	1	2015	5	-1	5	112
8676063	2	21	0	140	10	131	2	-1	10	524	50	73	1	138	-1	0	0	1	-1	11	15
9175984	1	20	0	0	8	16	0	-1	0	0	101	122	4	329	-1	7	0	4	-1	55	-1
9214536	2	-1	0	0	0	0	1	-1	14	0	2	2	0	123	-1	10	0	5	-1	-1	-1
9240019	2	22	1	0	14	5	0	-1	19	110	14	3	2	156	-1	3	2015	5	-1	5	26
9418672	2	20	0	0	2	3	0	-1	28	5	40	9	4	140	-1	0	2015	1	-1	4	39
10082274	2	22	-1	0	4	26	1	-1	20	491	484	34	5	332	-1	0	0	-1	-1	-1	-1
